order_month,order_date,order_id,customer_id,order_channel,sku_id,product_category,product_name,units_sold,order_revenue,customer_status,region
Month 1,2025-01-01,ORD50012,CUST1084,In-Store,SKU1010,Rings,Engagement Ring Set,2,2026.82,Active,South
Month 1,2025-01-01,ORD50013,CUST1156,Online,SKU1006,Rings,Silver Stackable Ring,2,198.33,Active,West
Month 1,2025-01-01,ORD50079,CUST1100,Online,SKU1001,Necklaces,Gold Pendant Necklace,1,200.12,Active,West
Month 1,2025-01-01,ORD50081,CUST1081,Online,SKU1002,Rings,Diamond Promise Ring,1,337.98,Active,South
Month 1,2025-01-01,ORD50108,CUST1165,Online,SKU1007,Necklaces,Birthstone Necklace,2,367.71,Active,West
Month 1,2025-01-01,ORD50144,CUST1097,Online,SKU1005,Watches,Rose Gold Watch,1,274.47,Active,South
Month 1,2025-01-01,ORD50146,CUST1166,In-Store,SKU1004,Bracelets,Tennis Bracelet,2,820.61,Active,West
Month 1,2025-01-01,ORD50155,CUST1153,Online,SKU1007,Necklaces,Birthstone Necklace,1,172.73,Active,Northeast
Month 1,2025-01-02,ORD50027,CUST1050,Online,SKU1003,Earrings,Pearl Stud Earrings,2,322.3,Lapsed,South
Month 1,2025-01-02,ORD50031,CUST1086,In-Store,SKU1006,Rings,Silver Stackable Ring,1,82.19,Lapsed,South
Month 1,2025-01-02,ORD50055,CUST1169,In-Store,SKU1008,Earrings,Hoop Earrings,2,217.11,Active,Northeast
Month 1,2025-01-02,ORD50073,CUST1090,Online,SKU1003,Earrings,Pearl Stud Earrings,2,291.26,Lapsed,South
Month 1,2025-01-02,ORD50082,CUST1113,Online,SKU1004,Bracelets,Tennis Bracelet,1,413.54,Active,Northeast
Month 1,2025-01-02,ORD50086,CUST1119,In-Store,SKU1004,Bracelets,Tennis Bracelet,1,380.2,Active,South
Month 1,2025-01-02,ORD50179,CUST1093,Online,SKU1002,Rings,Diamond Promise Ring,2,696.57,Active,Northeast
Month 1,2025-01-02,ORD50186,CUST1111,In-Store,SKU1008,Earrings,Hoop Earrings,1,101.33,Active,Northeast
Month 1,2025-01-02,ORD50190,CUST1179,In-Store,SKU1006,Rings,Silver Stackable Ring,1,89.18,Active,West
Month 1,2025-01-02,ORD50209,CUST1073,Online,SKU1005,Watches,Rose Gold Watch,1,264.66,Active,Northeast
Month 1,2025-01-02,ORD50213,CUST1109,Online,SKU1007,Necklaces,Birthstone Necklace,1,158.77,Active,South
Month 1,2025-01-03,ORD50092,CUST1076,Online,SKU1009,Bracelets,Charm Bracelet,1,150.07,Active,Northeast
Month 1,2025-01-03,ORD50117,CUST1066,Online,SKU1006,Rings,Silver Stackable Ring,1,100.88,Lapsed,South
Month 1,2025-01-03,ORD50124,CUST1155,In-Store,SKU1004,Bracelets,Tennis Bracelet,1,398.57,Active,Midwest
Month 1,2025-01-03,ORD50152,CUST1118,In-Store,SKU1009,Bracelets,Charm Bracelet,1,136.56,Active,Northeast
Month 1,2025-01-03,ORD50177,CUST1020,In-Store,SKU1008,Earrings,Hoop Earrings,1,116.2,Lapsed,Northeast
Month 1,2025-01-03,ORD50184,CUST1035,Online,SKU1006,Rings,Silver Stackable Ring,1,97.18,Lapsed,Northeast
Month 1,2025-01-04,ORD50026,CUST1130,In-Store,SKU1002,Rings,Diamond Promise Ring,1,314.63,Lapsed,West
Month 1,2025-01-04,ORD50033,CUST1144,In-Store,SKU1007,Necklaces,Birthstone Necklace,1,149.75,Lapsed,West
Month 1,2025-01-04,ORD50054,CUST1111,Online,SKU1005,Watches,Rose Gold Watch,2,508.34,Active,Northeast
Month 1,2025-01-04,ORD50056,CUST1034,Online,SKU1005,Watches,Rose Gold Watch,1,253.04,Active,Northeast
Month 1,2025-01-04,ORD50063,CUST1177,Online,SKU1006,Rings,Silver Stackable Ring,1,95.23,Active,Northeast
Month 1,2025-01-04,ORD50116,CUST1163,In-Store,SKU1007,Necklaces,Birthstone Necklace,2,311.79,Lapsed,West
